2024-11-12 10:35:06.701 [info] Extension host with pid 7253 started
2024-11-12 10:35:06.785 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-11-12 10:35:06.791 [info] ExtensionService#_doActivateExtension christian-kohler.path-intellisense, startup: true, activationEvent: '*'
2024-11-12 10:35:06.811 [info] ExtensionService#_doActivateExtension michelemelluso.code-beautifier, startup: true, activationEvent: '*'
2024-11-12 10:35:06.837 [info] ExtensionService#_doActivateExtension mtxr.sqltools, startup: true, activationEvent: '*'
2024-11-12 10:35:06.956 [info] ExtensionService#_doActivateExtension standard.vscode-standard, startup: true, activationEvent: '*'
2024-11-12 10:35:07.100 [info] ExtensionService#_doActivateExtension yatki.vscode-surround, startup: true, activationEvent: '*'
2024-11-12 10:35:07.553 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-11-12 10:35:07.704 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-11-12 10:35:07.917 [info] Eager extensions activated
2024-11-12 10:35:08.006 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:08.011 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:08.058 [info] ExtensionService#_doActivateExtension dbaeumer.vscode-eslint, startup: false, activationEvent: 'onStartupFinished'
2024-11-12 10:35:08.132 [info] ExtensionService#_doActivateExtension dsznajder.es7-react-js-snippets, startup: false, activationEvent: 'onStartupFinished'
